lv1,lv2,lvrel,att1,att2,attrel,tech1,tech2,techrel,n1,n2,nrel,y
10.0,4.0,2.5,1200.0,432.0,2.78,4.0,2.0,2.0,1,1,1.0,1.0
9.0,1.0,9.0,960.0,192.0,5.0,4.0,1.0,4.0,1,1,1.0,1.0
12.14,11.14,1.09,1781.71,1775.43,1.0,5.29,1.0,5.29,7,7,1.0,1.0
12.0,8.0,1.5,1512.0,840.0,1.8,5.0,4.0,1.25,1,1,1.0,1.0
6.0,7.0,0.86,480.0,720.0,0.67,3.0,4.0,0.75,1,1,1.0,0.0
3.0,9.0,0.33,300.0,1008.0,0.3,1.0,1.0,1.0,1,1,1.0,0.0
14.4,8.5,1.69,2652.0,1550.0,1.71,6.4,4.0,1.6,5,2,2.5,1.0
3.0,17.0,0.18,384.0,3528.0,0.11,2.0,8.0,0.25,1,1,1.0,0.0
12.67,7.33,1.73,2096.0,1198.33,1.75,6.0,3.67,1.63,3,6,0.5,0.0
16.0,6.0,2.67,3024.0,841.5,3.59,1.0,3.0,0.33,1,4,0.25,0.0
13.29,9.0,1.48,3174.29,896.0,3.54,6.0,4.0,1.5,7,1,7.0,1.0
10.5,8.83,1.19,1210.0,1742.33,0.69,1.0,4.0,0.25,2,6,0.33,0.0
13.0,5.0,2.6,2646.0,576.0,4.59,6.0,3.0,2.0,1,1,1.0,1.0
8.0,4.5,1.78,1344.0,432.0,3.11,4.0,1.0,4.0,1,2,0.5,1.0
14.0,14.0,1.0,2016.0,2434.0,0.83,6.0,1.0,6.0,1,3,0.33,0.0
15.0,20.0,0.75,2772.0,5120.0,0.54,7.0,9.0,0.78,1,1,1.0,1.0
10.8,17.5,0.62,1964.0,3564.0,0.55,1.0,1.0,1.0,5,2,2.5,1.0
13.0,18.0,0.72,1792.0,5040.0,0.36,1.0,8.0,0.12,1,1,1.0,0.0
8.62,2.0,4.31,1458.0,256.0,5.7,4.12,1.0,4.12,8,1,8.0,1.0
9.0,6.0,1.5,1080.0,540.0,2.0,4.0,3.0,1.33,1,1,1.0,1.0
15.0,18.0,0.83,2592.0,5040.0,0.51,7.0,8.0,0.88,1,1,1.0,0.0
18.0,17.0,1.06,2904.0,4320.0,0.67,8.0,8.0,1.0,1,1,1.0,0.0
14.14,10.5,1.35,2711.0,1500.0,1.81,1.0,5.0,0.2,7,2,3.5,1.0
13.0,12.67,1.03,1960.0,2946.67,0.67,1.0,6.0,0.17,1,3,0.33,0.0
18.0,4.0,4.5,5120.0,400.0,12.8,8.0,2.0,4.0,1,1,1.0,1.0
15.0,16.0,0.94,2112.0,4118.8,0.51,7.0,7.2,0.97,1,5,0.2,0.0
20.0,5.0,4.0,4536.0,480.0,9.45,1.0,1.0,1.0,1,1,1.0,1.0
5.0,12.33,0.41,450.0,3250.0,0.14,1.0,5.67,0.18,1,3,0.33,0.0
8.0,7.0,1.14,756.0,792.0,0.95,1.0,1.0,1.0,1,4,0.25,0.0
9.0,9.86,0.91,1134.0,1580.0,0.72,4.0,4.57,0.88,1,7,0.14,0.0
12.75,20.0,0.64,2485.5,4928.0,0.5,5.75,1.0,5.75,4,1,4.0,1.0
10.0,12.0,0.83,1225.0,2268.0,0.54,1.0,5.0,0.2,1,1,1.0,0.0
10.25,9.0,1.14,1316.62,1830.86,0.72,4.38,4.43,0.99,8,7,1.14,1.0
13.0,11.0,1.18,2880.0,1470.0,1.96,6.0,5.0,1.2,1,1,1.0,0.0
16.0,13.0,1.23,3822.0,2880.0,1.33,7.0,6.0,1.17,1,1,1.0,0.0
