lv1,lv2,lvrel,att1,att2,attrel,tech1,tech2,techrel,n1,n2,nrel,y
8.0,11.29,0.71,840.0,2252.86,0.37,1.0,5.43,0.18,1,7,0.14,0.0
8.0,15.0,0.53,864.0,2450.0,0.35,4.0,7.0,0.57,1,1,1.0,0.0
18.0,1.0,18.0,3696.0,180.0,20.53,8.0,1.0,8.0,1,1,1.0,1.0
15.0,9.25,1.62,3402.0,1365.0,2.49,7.0,1.0,7.0,1,4,0.25,0.0
13.0,13.0,1.0,1960.0,1890.0,1.04,1.0,1.0,1.0,1,1,1.0,0.0
5.0,11.0,0.45,420.0,1512.0,0.28,3.0,5.0,0.6,1,1,1.0,0.0
15.0,14.75,1.02,4640.0,2999.75,1.55,6.5,6.5,1.0,2,4,0.5,0.0
8.43,8.0,1.05,1448.57,875.0,1.66,4.29,3.5,1.23,7,2,3.5,1.0
11.0,7.0,1.57,1470.0,896.0,1.64,1.0,4.0,0.25,1,1,1.0,1.0
7.0,7.38,0.95,700.0,1169.0,0.6,4.0,3.5,1.14,1,8,0.12,0.0
11.0,10.0,1.1,1470.0,1600.0,0.92,1.0,4.0,0.25,1,1,1.0,0.0
10.14,6.0,1.69,2370.0,616.0,3.85,4.859999999999999,3.2,1.52,7,5,1.4,1.0
7.0,9.0,0.78,700.0,1050.0,0.67,1.0,1.0,1.0,1,1,1.0,0.0
1.0,16.0,0.06,180.0,3479.0,0.05,1.0,7.5,0.13,1,2,0.5,0.0
12.0,14.5,0.83,1764.0,2916.0,0.6,5.0,6.5,0.77,1,4,0.25,0.0
7.0,13.0,0.54,640.0,2520.0,0.25,1.0,6.0,0.17,1,1,1.0,0.0
4.0,3.0,1.33,384.0,320.0,1.2,2.0,2.0,1.0,1,1,1.0,1.0
13.0,5.5,2.36,1920.0,472.5,4.06,6.0,1.0,6.0,1,2,0.5,1.0
4.75,6.0,0.79,725.0,600.0,1.21,1.0,1.0,1.0,4,1,4.0,1.0
11.0,13.0,0.85,1344.0,1960.0,0.69,5.0,6.0,0.83,1,1,1.0,1.0
12.0,7.83,1.53,1715.0,903.33,1.9,5.0,3.67,1.36,1,6,0.17,0.0
